Country Name,Indicator Name,2016,2017,2018
Afghanistan,GDP per capita (current US$),547.2281102,556.3021385,520.8966027
Angola,GDP per capita (current US$),3506.072885,4095.812942,3432.385736
Albania,GDP per capita (current US$),4124.108543,4532.889198,5253.630064
Andorra,GDP per capita (current US$),37224.10892,39134.39337,42029.76274
Arab World,GDP per capita (current US$),6202.890459,6285.215228,6626.135357
United Arab Emirates,GDP per capita (current US$),38141.84676,40325.382,43004.94865
Argentina,GDP per capita (current US$),12790.24247,14591.86338,11652.56629
Armenia,GDP per capita (current US$),3591.829276,3914.501268,4212.070943
Antigua and Barbuda,GDP per capita (current US$),15494.30547,15824.66781,16864.38336
Australia,GDP per capita (current US$),50019.96777,54093.60219,57305.29902
Austria,GDP per capita (current US$),45103.32981,47380.82964,51512.90548
Azerbaijan,GDP per capita (current US$),3880.738731,4147.089716,4721.178087
Burundi,GDP per capita (current US$),282.1496815,293.009062,275.4296033
Belgium,GDP per capita (current US$),41449.09736,43507.2382,46556.09957
Benin,GDP per capita (current US$),788.5491965,827.4298101,901.9540522
Burkina Faso,GDP per capita (current US$),583.8326203,642.0404265,731.171717
Bangladesh,GDP per capita (current US$),1401.620628,1563.994082,1698.262802
Bulgaria,GDP per capita (current US$),7469.455638,8228.01157,9272.629304
Bahrain,GDP per capita (current US$),22619.11667,23715.48275,24050.75751
Bosnia and Herzegovina,GDP per capita (current US$),4994.68314,5394.59122,5951.323299
Belarus,GDP per capita (current US$),5022.626643,5761.74712,6289.938553
Belize,GDP per capita (current US$),4904.034338,4956.808039,5025.1781
Bolivia,GDP per capita (current US$),3076.658949,3351.124053,3548.59014
Brazil,GDP per capita (current US$),8712.887044,9880.946543,8920.762105
Brunei Darussalam,GDP per capita (current US$),27157.34623,28572.10942,31627.74208
Bhutan,GDP per capita (current US$),3012.961401,3390.714075,3360.266867
Botswana,GDP per capita (current US$),7243.856017,7893.675933,8258.641666
Central African Republic,GDP per capita (current US$),406.5319611,471.6032278,509.9709748
Canada,GDP per capita (current US$),42279.90082,45069.92725,46210.54762
Central Europe and the Baltics,GDP per capita (current US$),12773.78384,14167.6491,15913.23168
Switzerland,GDP per capita (current US$),80037.50304,80333.44494,82838.92944
Chile,GDP per capita (current US$),13748.0884,15037.35011,15923.35906
China,GDP per capita (current US$),8078.790474,8759.041578,9770.847088
Cote d'Ivoire,GDP per capita (current US$),1481.652305,1557.182948,1715.531238
Cameroon,GDP per capita (current US$),1363.403851,1421.587492,1526.875713
"Congo, Dem. Rep.",GDP per capita (current US$),471.3188404,467.0742375,561.7771824
"Congo, Rep.",GDP per capita (current US$),1814.063418,1702.571349,2147.769461
Colombia,GDP per capita (current US$),5871.223524,6375.932063,6651.291293
Comoros,GDP per capita (current US$),1287.420965,1312.366174,1445.450809
Cabo Verde,GDP per capita (current US$),3130.963385,3295.341106,3654.007345
Costa Rica,GDP per capita (current US$),11666.45661,11752.5436,12026.54753
Caribbean small states,GDP per capita (current US$),9242.035178,9442.912794,9910.397885
Cyprus,GDP per capita (current US$),24019.13787,25760.7627,28159.3017
Czech Republic,GDP per capita (current US$),18463.38658,20379.89604,23078.57349
Germany,GDP per capita (current US$),42443.46507,44681.08258,48195.5799
Djibouti,GDP per capita (current US$),1898.87599,1953.903502,2050.204732
Dominica,GDP per capita (current US$),8070.290917,6951.303542,7031.709754
Denmark,GDP per capita (current US$),54467.10452,57218.85485,60726.46654
Dominican Republic,GDP per capita (current US$),6957.564507,7222.554044,7650.072753
Algeria,GDP per capita (current US$),3948.811897,4048.285258,4278.85006
East Asia & Pacific (excluding high income),GDP per capita (current US$),6554.791243,7081.776379,7820.71228
Early-demographic dividend,GDP per capita (current US$),3321.457299,3545.022221,3581.455983
East Asia & Pacific,GDP per capita (current US$),9766.122869,10332.83226,11132.22966
Europe & Central Asia (excluding high income),GDP per capita (current US$),7161.513553,7979.76034,8125.769061
Europe & Central Asia,GDP per capita (current US$),22328.77633,23517.20535,25077.98448
Ecuador,GDP per capita (current US$),6060.093329,6213.501276,6344.871979
"Egypt, Arab Rep.",GDP per capita (current US$),3525.020165,2440.510173,2549.139458
