Country Name,Indicator Name,2016,2017,2018
Aruba,"Inflation, consumer prices (annual %)",-0.9%,-0.5%,3.6%
Angola,"Inflation, consumer prices (annual %)",32.4%,31.7%,20.2%
Albania,"Inflation, consumer prices (annual %)",1.3%,2.0%,2.0%
Arab World,"Inflation, consumer prices (annual %)",1.8%,1.8%,2.5%
United Arab Emirates,"Inflation, consumer prices (annual %)",1.6%,2.0%,3.1%
Armenia,"Inflation, consumer prices (annual %)",-1.4%,1.0%,2.5%
Antigua and Barbuda,"Inflation, consumer prices (annual %)",-0.5%,2.4%,1.2%
Australia,"Inflation, consumer prices (annual %)",1.3%,1.9%,1.9%
Austria,"Inflation, consumer prices (annual %)",0.9%,2.1%,2.0%
Azerbaijan,"Inflation, consumer prices (annual %)",12.4%,12.9%,1.9%
Burundi,"Inflation, consumer prices (annual %)",5.6%,16.1%,-2.8%
Belgium,"Inflation, consumer prices (annual %)",2.0%,2.1%,2.1%
Benin,"Inflation, consumer prices (annual %)",-0.8%,0.1%,1.0%
Burkina Faso,"Inflation, consumer prices (annual %)",-0.2%,0.4%,1.9%
Bangladesh,"Inflation, consumer prices (annual %)",5.5%,5.7%,5.5%
Bulgaria,"Inflation, consumer prices (annual %)",-0.8%,2.1%,2.8%
Bahrain,"Inflation, consumer prices (annual %)",2.8%,1.4%,2.1%
"Bahamas, The","Inflation, consumer prices (annual %)",-0.3%,1.5%,2.3%
Belarus,"Inflation, consumer prices (annual %)",11.8%,6.0%,4.9%
Bolivia,"Inflation, consumer prices (annual %)",3.6%,2.8%,2.3%
Brazil,"Inflation, consumer prices (annual %)",8.7%,3.4%,3.7%
Brunei Darussalam,"Inflation, consumer prices (annual %)",-0.7%,-0.2%,0.2%
Bhutan,"Inflation, consumer prices (annual %)",4.3%,3.9%,2.7%
Botswana,"Inflation, consumer prices (annual %)",2.8%,3.3%,3.2%
Canada,"Inflation, consumer prices (annual %)",1.4%,1.6%,2.3%
Central Europe and the Baltics,"Inflation, consumer prices (annual %)",-0.1%,2.1%,2.5%
Switzerland,"Inflation, consumer prices (annual %)",-0.4%,0.5%,0.9%
Chile,"Inflation, consumer prices (annual %)",3.8%,2.2%,2.4%
China,"Inflation, consumer prices (annual %)",2.0%,1.6%,2.1%
Cote d'Ivoire,"Inflation, consumer prices (annual %)",0.7%,0.7%,0.4%
Cameroon,"Inflation, consumer prices (annual %)",0.9%,0.6%,1.1%
Colombia,"Inflation, consumer prices (annual %)",7.5%,4.3%,3.2%
Costa Rica,"Inflation, consumer prices (annual %)",0.0%,1.6%,2.2%
Caribbean small states,"Inflation, consumer prices (annual %)",0.2%,1.9%,1.6%
Czech Republic,"Inflation, consumer prices (annual %)",0.7%,2.5%,2.1%
Germany,"Inflation, consumer prices (annual %)",0.5%,1.5%,1.7%
Djibouti,"Inflation, consumer prices (annual %)",2.7%,0.6%,0.1%
Denmark,"Inflation, consumer prices (annual %)",0.3%,1.1%,0.8%
Dominican Republic,"Inflation, consumer prices (annual %)",1.6%,3.3%,3.6%
Algeria,"Inflation, consumer prices (annual %)",6.4%,5.6%,4.3%
Early-demographic dividend,"Inflation, consumer prices (annual %)",3.5%,3.5%,4.0%
