Country Name,Indicator Name,2016,2017,2018
Albania,"Manufacturing, value added (current LCU)"," 83,702,000,000.00 "," 95,290,000,000.00 "," 100,423,190,000.00 "
United Arab Emirates,"Manufacturing, value added (current LCU)"," 117,808,000,000.00 "," 123,422,000,000.00 "," 135,617,000,000.00 "
Argentina,"Manufacturing, value added (current LCU)"," 1,109,816,297,900.00 "," 1,368,136,774,100.00 "," 1,857,585,888,400.00 "
Armenia,"Manufacturing, value added (current LCU)"," 521,153,400,000.00 "," 591,568,300,000.00 "," 679,030,000,000.00 "
Antigua and Barbuda,"Manufacturing, value added (current LCU)"," 105,563,637.00 "," 102,563,485.00 "," 106,683,973.00 "
Australia,"Manufacturing, value added (current LCU)"," 101,192,000,000.00 "," 102,059,000,000.00 "," 106,749,000,000.00 "
Austria,"Manufacturing, value added (current LCU)"," 59,525,890,000.00 "," 61,532,700,000.00 "," 63,933,670,000.00 "
Azerbaijan,"Manufacturing, value added (current LCU)"," 2,979,100,000.00 "," 3,305,500,000.00 "," 3,847,900,000.00 "
Benin,"Manufacturing, value added (current LCU)"," 603,665,191,000.00 "," 662,004,379,800.00 "," 707,052,750,900.00 "
Burkina Faso,"Manufacturing, value added (current LCU)"," 345,876,073,800.00 "," 393,600,669,900.00 "," 414,865,843,200.00 "
Bangladesh,"Manufacturing, value added (current LCU)"," 2,951,110,000,000.00 "," 3,418,287,000,000.00 "," 4,041,443,000,000.00 "
Bulgaria,"Manufacturing, value added (current LCU)"," 13,641,000,000.00 "," 14,834,300,000.00 "," 15,504,800,000.00 "
Bahrain,"Manufacturing, value added (current LCU)"," 2,194,000,000.00 "," 2,467,410,000.00 "," 2,504,420,000.00 "
Bosnia and Herzegovina,"Manufacturing, value added (current LCU)"," 3,698,953,000.00 "," 4,114,997,000.00 "," 4,206,176,000.00 "
Belarus,"Manufacturing, value added (current LCU)"," 19,134,300,000.00 "," 22,872,400,000.00 "," 26,098,200,000.00 "
Bolivia,"Manufacturing, value added (current LCU)"," 25,761,644,000.00 "," 27,197,570,000.00 "," 28,794,057,000.00 "
Brazil,"Manufacturing, value added (current LCU)"," 675,816,000,000.00 "," 690,731,427,400.00 "," 659,663,863,700.00 "
Brunei Darussalam,"Manufacturing, value added (current LCU)"," 1,804,818,100.00 "," 2,119,954,700.00 "," 2,574,235,883.39 "
Botswana,"Manufacturing, value added (current LCU)"," 8,859,500,000.00 "," 9,214,500,000.00 "," 9,794,700,000.00 "
Switzerland,"Manufacturing, value added (current LCU)"," 118,301,517,800.00 "," 119,812,133,900.00 "," 126,306,314,500.00 "
Chile,"Manufacturing, value added (current LCU)"," 18,608,014,802,500.00 "," 18,895,069,125,100.00 "," 20,361,800,231,700.00 "
China,"Manufacturing, value added (current LCU)"," 21,428,930,000,000.00 "," 24,050,540,000,000.00 "," 26,482,040,000,000.00 "
Cote d'Ivoire,"Manufacturing, value added (current LCU)"," 2,588,785,000,000.00 "," 2,726,143,000,000.00 "," 3,052,662,274,700.00 "
Cameroon,"Manufacturing, value added (current LCU)"," 2,874,854,000,000.00 "," 3,074,456,000,000.00 "," 3,281,203,000,000.00 "
"Congo, Dem. Rep.","Manufacturing, value added (current LCU)"," 6,852,323,750,565.52 "," 10,849,621,470,511.20 "," 13,874,006,820,467.90 "
Colombia,"Manufacturing, value added (current LCU)"," 106,226,000,000,000.00 "," 105,048,000,000,000.00 "," 110,440,635,688,300.00 "
Cabo Verde,"Manufacturing, value added (current LCU)"," 9,834,566,200.00 "," 11,103,747,900.00 "," 12,960,986,800.00 "
Costa Rica,"Manufacturing, value added (current LCU)"," 3,550,844,292,825.43 "," 3,875,165,771,735.66 "," 4,123,787,333,076.41 "
Cyprus,"Manufacturing, value added (current LCU)"," 844,170,000.00 "," 919,300,000.00 "," 969,900,000.00 "
Czech Republic,"Manufacturing, value added (current LCU)"," 1,150,435,000,000.00 "," 1,214,461,000,000.00 "," 1,228,873,000,000.00 "
Germany,"Manufacturing, value added (current LCU)"," 666,300,000,000.00 "," 690,213,000,000.00 "," 705,225,000,000.00 "
Djibouti,"Manufacturing, value added (current LCU)"," 12,123,524,800.00 "," 13,331,723,300.00 "," 15,545,745,800.00 "
Dominica,"Manufacturing, value added (current LCU)"," 32,417,200.00 "," 24,163,820.00 "," 18,304,090.00 "
Denmark,"Manufacturing, value added (current LCU)"," 272,827,816,000.00 "," 272,756,711,000.00 "," 280,256,786,000.00 "
Dominican Republic,"Manufacturing, value added (current LCU)"," 443,855,299,200.00 "," 475,124,776,000.00 "," 528,330,923,207.84 "
Ecuador,"Manufacturing, value added (current LCU)"," 14,541,423,000.00 "," 14,983,046,000.00 "," 15,353,466,000.00 "
"Egypt, Arab Rep.","Manufacturing, value added (current LCU)"," 456,298,900,000.00 "," 570,589,700,000.00 "," 722,405,800,000.00 "
Spain,"Manufacturing, value added (current LCU)"," 140,309,000,000.00 "," 149,778,000,000.00 "," 152,718,000,000.00 "
Estonia,"Manufacturing, value added (current LCU)"," 2,995,681,600.00 "," 3,205,319,700.00 "," 3,427,163,700.00 "
Ethiopia,"Manufacturing, value added (current LCU)"," 89,246,654,000.00 "," 113,386,928,000.00 "," 128,200,221,000.00 "
