Country Name,Indicator Name,2016,2017,2018
Aruba,"Population, total"," 104,872 "," 105,366 "," 105,845 "
Afghanistan,"Population, total"," 35,383,128 "," 36,296,400 "," 37,172,386 "
Angola,"Population, total"," 28,842,484 "," 29,816,748 "," 30,809,762 "
Albania,"Population, total"," 2,876,101 "," 2,873,457 "," 2,866,376 "
Andorra,"Population, total"," 77,297 "," 77,001 "," 77,006 "
Arab World,"Population, total"," 404,024,433 "," 411,898,965 "," 419,790,588 "
United Arab Emirates,"Population, total"," 9,360,980 "," 9,487,203 "," 9,630,959 "
Argentina,"Population, total"," 43,590,368 "," 44,044,811 "," 44,494,502 "
Armenia,"Population, total"," 2,936,146 "," 2,944,809 "," 2,951,776 "
American Samoa,"Population, total"," 55,741 "," 55,620 "," 55,465 "
Antigua and Barbuda,"Population, total"," 94,527 "," 95,426 "," 96,286 "
Australia,"Population, total"," 24,190,907 "," 24,601,860 "," 24,992,369 "
Austria,"Population, total"," 8,736,668 "," 8,797,566 "," 8,847,037 "
Azerbaijan,"Population, total"," 9,757,812 "," 9,854,033 "," 9,942,334 "
Burundi,"Population, total"," 10,487,998 "," 10,827,024 "," 11,175,378 "
Belgium,"Population, total"," 11,331,422 "," 11,375,158 "," 11,422,068 "
Benin,"Population, total"," 10,872,067 "," 11,175,204 "," 11,485,048 "
Burkina Faso,"Population, total"," 18,646,378 "," 19,193,284 "," 19,751,535 "
Bangladesh,"Population, total"," 157,970,840 "," 159,670,593 "," 161,356,039 "
Bulgaria,"Population, total"," 7,127,822 "," 7,075,947 "," 7,024,216 "
Bahrain,"Population, total"," 1,425,791 "," 1,494,074 "," 1,569,439 "
"Bahamas, The","Population, total"," 377,931 "," 381,761 "," 385,640 "
Bosnia and Herzegovina,"Population, total"," 3,386,267 "," 3,351,527 "," 3,323,929 "
Belarus,"Population, total"," 9,501,534 "," 9,498,264 "," 9,485,386 "
Belize,"Population, total"," 368,400 "," 375,769 "," 383,071 "
Bermuda,"Population, total"," 64,555 "," 63,874 "," 63,968 "
Bolivia,"Population, total"," 11,031,813 "," 11,192,854 "," 11,353,142 "
Brazil,"Population, total"," 206,163,058 "," 207,833,831 "," 209,469,333 "
Barbados,"Population, total"," 285,796 "," 286,233 "," 286,641 "
Brunei Darussalam,"Population, total"," 419,800 "," 424,473 "," 428,962 "
Bhutan,"Population, total"," 736,709 "," 745,568 "," 754,394 "
Botswana,"Population, total"," 2,159,944 "," 2,205,128 "," 2,254,126 "
Central African Republic,"Population, total"," 4,537,687 "," 4,596,028 "," 4,666,377 "
Canada,"Population, total"," 36,109,487 "," 36,540,268 "," 37,058,856 "
Central Europe and the Baltics,"Population, total"," 102,994,343 "," 102,738,854 "," 102,511,922 "
Switzerland,"Population, total"," 8,373,338 "," 8,451,840 "," 8,516,543 "
Channel Islands,"Population, total"," 166,923 "," 168,665 "," 170,499 "
Chile,"Population, total"," 18,209,068 "," 18,470,439 "," 18,729,160 "
China,"Population, total"," 1,378,665,000 "," 1,386,395,000 "," 1,392,730,000 "
Cote d'Ivoire,"Population, total"," 23,822,714 "," 24,437,469 "," 25,069,229 "
Cameroon,"Population, total"," 23,926,539 "," 24,566,045 "," 25,216,237 "
"Congo, Dem. Rep.","Population, total"," 78,789,127 "," 81,398,764 "," 84,068,091 "
"Congo, Rep.","Population, total"," 4,980,999 "," 5,110,702 "," 5,244,363 "
Colombia,"Population, total"," 48,171,392 "," 48,901,066 "," 49,648,685 "
Comoros,"Population, total"," 795,592 "," 813,892 "," 832,322 "
Cabo Verde,"Population, total"," 531,146 "," 537,497 "," 543,767 "
Costa Rica,"Population, total"," 4,899,345 "," 4,949,954 "," 4,999,441 "
Caribbean small states,"Population, total"," 7,269,386 "," 7,314,990 "," 7,358,965 "
Cuba,"Population, total"," 11,335,109 "," 11,339,259 "," 11,338,138 "
Curacao,"Population, total"," 159,664 "," 160,175 "," 159,849 "
Cayman Islands,"Population, total"," 62,569 "," 63,382 "," 64,174 "
Cyprus,"Population, total"," 1,170,187 "," 1,179,680 "," 1,189,265 "
Czech Republic,"Population, total"," 10,566,332 "," 10,594,438 "," 10,625,695 "
Germany,"Population, total"," 82,348,669 "," 82,657,002 "," 82,927,922 "
Djibouti,"Population, total"," 929,112 "," 944,097 "," 958,920 "
Dominica,"Population, total"," 71,307 "," 71,458 "," 71,625 "
Denmark,"Population, total"," 5,728,010 "," 5,764,980 "," 5,797,446 "
Dominican Republic,"Population, total"," 10,397,743 "," 10,513,131 "," 10,627,165 "
Algeria,"Population, total"," 40,551,404 "," 41,389,198 "," 42,228,429 "
East Asia & Pacific (excluding high income),"Population, total"," 2,053,116,851 "," 2,068,155,660 "," 2,081,651,801 "
Early-demographic dividend,"Population, total"," 3,165,142,287 "," 3,207,188,541 "," 3,249,140,605 "
East Asia & Pacific,"Population, total"," 2,298,514,046 "," 2,314,202,003 "," 2,328,220,870 "
Europe & Central Asia (excluding high income),"Population, total"," 413,361,214 "," 415,710,935 "," 417,797,257 "
Europe & Central Asia,"Population, total"," 911,812,364 "," 915,420,161 "," 918,793,590 "
Ecuador,"Population, total"," 16,491,115 "," 16,785,361 "," 17,084,357 "
"Egypt, Arab Rep.","Population, total"," 94,447,072 "," 96,442,593 "," 98,423,595 "
Euro area,"Population, total"," 340,616,924 "," 341,164,362 "," 341,783,171 "
Spain,"Population, total"," 46,483,569 "," 46,593,236 "," 46,723,749 "
Estonia,"Population, total"," 1,315,790 "," 1,317,384 "," 1,320,884 "
Ethiopia,"Population, total"," 103,603,501 "," 106,400,024 "," 109,224,559 "
European Union,"Population, total"," 511,218,529 "," 512,191,098 "," 513,213,363 "
Fragile and conflict affected situations,"Population, total"," 493,290,951 "," 504,119,229 "," 515,215,936 "
Finland,"Population, total"," 5,495,303 "," 5,508,214 "," 5,518,050 "
Fiji,"Population, total"," 872,399 "," 877,459 "," 883,483 "
France,"Population, total"," 66,859,768 "," 66,865,144 "," 66,987,244 "
Faroe Islands,"Population, total"," 48,173 "," 48,331 "," 48,497 "
"Micronesia, Fed. Sts.","Population, total"," 110,215 "," 111,459 "," 112,640 "
Gabon,"Population, total"," 2,007,873 "," 2,064,823 "," 2,119,275 "
United Kingdom,"Population, total"," 65,595,565 "," 66,058,859 "," 66,488,991 "
Georgia,"Population, total"," 3,727,505 "," 3,728,004 "," 3,731,000 "
Ghana,"Population, total"," 28,481,946 "," 29,121,471 "," 29,767,108 "
Gibraltar,"Population, total"," 33,737 "," 33,728 "," 33,718 "
Guinea,"Population, total"," 11,738,441 "," 12,067,539 "," 12,414,318 "
"Gambia, The","Population, total"," 2,149,139 "," 2,213,894 "," 2,280,102 "
Guinea-Bissau,"Population, total"," 1,782,437 "," 1,828,146 "," 1,874,309 "
Equatorial Guinea,"Population, total"," 1,215,179 "," 1,262,001 "," 1,308,974 "
Greece,"Population, total"," 10,775,971 "," 10,754,679 "," 10,727,668 "
Grenada,"Population, total"," 110,261 "," 110,874 "," 111,454 "
Greenland,"Population, total"," 56,186 "," 56,171 "," 56,025 "
Guatemala,"Population, total"," 16,583,060 "," 16,914,936 "," 17,247,807 "
Guam,"Population, total"," 162,951 "," 164,281 "," 165,768 "
Guyana,"Population, total"," 771,366 "," 775,221 "," 779,004 "
High income,"Population, total"," 1,198,350,350 "," 1,204,429,565 "," 1,210,312,147 "
"Hong Kong SAR, China","Population, total"," 7,336,600 "," 7,391,700 "," 7,451,000 "
Honduras,"Population, total"," 9,270,795 "," 9,429,013 "," 9,587,522 "
Heavily indebted poor countries (HIPC),"Population, total"," 738,387,254 "," 759,106,221 "," 780,234,406 "
Croatia,"Population, total"," 4,174,349 "," 4,124,531 "," 4,089,400 "
Haiti,"Population, total"," 10,839,970 "," 10,982,366 "," 11,123,176 "
Hungary,"Population, total"," 9,814,023 "," 9,787,966 "," 9,768,785 "
IBRD only,"Population, total"," 4,687,686,335 "," 4,731,120,193 "," 4,772,284,113 "
IDA & IBRD total,"Population, total"," 6,256,138,021 "," 6,335,039,629 "," 6,412,522,234 "
IDA total,"Population, total"," 1,568,451,686 "," 1,603,919,436 "," 1,640,238,121 "
IDA blend,"Population, total"," 531,399,044 "," 543,525,897 "," 555,830,605 "
Indonesia,"Population, total"," 261,554,226 "," 264,645,886 "," 267,663,435 "
IDA only,"Population, total"," 1,037,052,642 "," 1,060,393,539 "," 1,084,407,516 "
Isle of Man,"Population, total"," 83,287 "," 83,598 "," 84,077 "
India,"Population, total"," 1,324,509,589 "," 1,338,658,835 "," 1,352,617,328 "
Ireland,"Population, total"," 4,755,335 "," 4,807,388 "," 4,853,506 "
"Iran, Islamic Rep.","Population, total"," 79,564,016 "," 80,673,951 "," 81,800,269 "
