Country Name,Indicator Name,2016,2017,2018
Albania,"Unemployment, total (% of total labor force) (national estimate)",15.2%,13.8%,12.3%
United Arab Emirates,"Unemployment, total (% of total labor force) (national estimate)",1.6%,2.5%,2.2%
Argentina,"Unemployment, total (% of total labor force) (national estimate)",,8.3%,9.2%
Australia,"Unemployment, total (% of total labor force) (national estimate)",5.7%,5.6%,5.3%
Austria,"Unemployment, total (% of total labor force) (national estimate)",6.0%,5.5%,4.8%
Azerbaijan,"Unemployment, total (% of total labor force) (national estimate)",5.0%,5.0%,4.9%
Belgium,"Unemployment, total (% of total labor force) (national estimate)",7.8%,7.1%,5.9%
Bulgaria,"Unemployment, total (% of total labor force) (national estimate)",7.6%,6.2%,5.2%
Bosnia and Herzegovina,"Unemployment, total (% of total labor force) (national estimate)",25.4%,20.5%,18.4%
Belarus,"Unemployment, total (% of total labor force) (national estimate)",5.8%,5.7%,4.8%
Bolivia,"Unemployment, total (% of total labor force) (national estimate)",,,3.5%
Brazil,"Unemployment, total (% of total labor force) (national estimate)",11.6%,12.8%,12.3%
Canada,"Unemployment, total (% of total labor force) (national estimate)",7.0%,6.3%,5.8%
Central Europe and the Baltics,"Unemployment, total (% of total labor force) (national estimate)",6.5%,5.3%,4.3%
Switzerland,"Unemployment, total (% of total labor force) (national estimate)",4.9%,4.8%,4.7%
Chile,"Unemployment, total (% of total labor force) (national estimate)",6.7%,,7.2%
Colombia,"Unemployment, total (% of total labor force) (national estimate)",8.7%,8.9%,9.1%
Cabo Verde,"Unemployment, total (% of total labor force) (national estimate)",,12.2%,12.2%
Curacao,"Unemployment, total (% of total labor force) (national estimate)",,,13.4%
Cyprus,"Unemployment, total (% of total labor force) (national estimate)",12.9%,11.1%,8.4%
Czech Republic,"Unemployment, total (% of total labor force) (national estimate)",4.0%,2.9%,2.2%
Germany,"Unemployment, total (% of total labor force) (national estimate)",4.1%,3.7%,3.4%
Denmark,"Unemployment, total (% of total labor force) (national estimate)",6.2%,5.7%,5.0%
Early-demographic dividend,"Unemployment, total (% of total labor force) (national estimate)",,,5.7%
Europe & Central Asia (excluding high income),"Unemployment, total (% of total labor force) (national estimate)",7.5%,7.2%,7.0%
Europe & Central Asia,"Unemployment, total (% of total labor force) (national estimate)",8.1%,7.5%,6.9%
Ecuador,"Unemployment, total (% of total labor force) (national estimate)",4.6%,3.8%,3.5%
Euro area,"Unemployment, total (% of total labor force) (national estimate)",10.0%,9.1%,8.2%
Spain,"Unemployment, total (% of total labor force) (national estimate)",19.6%,17.2%,15.3%
Estonia,"Unemployment, total (% of total labor force) (national estimate)",6.8%,5.8%,5.4%
European Union,"Unemployment, total (% of total labor force) (national estimate)",8.5%,7.6%,6.8%
Finland,"Unemployment, total (% of total labor force) (national estimate)",8.8%,8.6%,7.4%
France,"Unemployment, total (% of total labor force) (national estimate)",10.1%,9.4%,9.1%
United Kingdom,"Unemployment, total (% of total labor force) (national estimate)",4.8%,4.3%,4.0%
Greece,"Unemployment, total (% of total labor force) (national estimate)",23.5%,21.5%,19.3%
High income,"Unemployment, total (% of total labor force) (national estimate)",6.2%,5.6%,5.2%
Honduras,"Unemployment, total (% of total labor force) (national estimate)",6.7%,5.5%,5.6%
Croatia,"Unemployment, total (% of total labor force) (national estimate)",13.1%,11.2%,8.4%
Hungary,"Unemployment, total (% of total labor force) (national estimate)",5.1%,4.2%,3.7%
Indonesia,"Unemployment, total (% of total labor force) (national estimate)",4.3%,4.2%,4.5%
India,"Unemployment, total (% of total labor force) (national estimate)",,,5.3%
Ireland,"Unemployment, total (% of total labor force) (national estimate)",8.4%,6.7%,5.7%
"Iran, Islamic Rep.","Unemployment, total (% of total labor force) (national estimate)",12.4%,12.1%,12.1%
Iceland,"Unemployment, total (% of total labor force) (national estimate)",3.0%,2.7%,2.7%
Israel,"Unemployment, total (% of total labor force) (national estimate)",4.8%,4.2%,4.0%
Italy,"Unemployment, total (% of total labor force) (national estimate)",11.7%,11.2%,10.6%
Jamaica,"Unemployment, total (% of total labor force) (national estimate)",13.2%,11.6%,9.1%
Japan,"Unemployment, total (% of total labor force) (national estimate)",3.1%,2.8%,2.4%
Kyrgyz Republic,"Unemployment, total (% of total labor force) (national estimate)",7.2%,6.9%,6.0%
"Korea, Rep.","Unemployment, total (% of total labor force) (national estimate)",3.7%,3.7%,3.8%
Latin America & Caribbean (excluding high income),"Unemployment, total (% of total labor force) (national estimate)",8.4%,8.8%,8.5%
Latin America & Caribbean,"Unemployment, total (% of total labor force) (national estimate)",8.3%,8.7%,8.4%
Lower middle income,"Unemployment, total (% of total labor force) (national estimate)",,,5.0%
Lithuania,"Unemployment, total (% of total labor force) (national estimate)",7.9%,7.1%,6.1%
Luxembourg,"Unemployment, total (% of total labor force) (national estimate)",6.3%,5.5%,5.6%
Latvia,"Unemployment, total (% of total labor force) (national estimate)",9.6%,8.7%,7.4%
Moldova,"Unemployment, total (% of total labor force) (national estimate)",4.2%,4.1%,3.0%
Mexico,"Unemployment, total (% of total labor force) (national estimate)",3.9%,3.4%,3.3%
North Macedonia,"Unemployment, total (% of total labor force) (national estimate)",23.7%,22.4%,20.7%
Mali,"Unemployment, total (% of total labor force) (national estimate)",1.4%,,7.1%
Malta,"Unemployment, total (% of total labor force) (national estimate)",,4.0%,3.7%
Myanmar,"Unemployment, total (% of total labor force) (national estimate)",,1.6%,0.9%
Montenegro,"Unemployment, total (% of total labor force) (national estimate)",17.7%,16.1%,15.2%
Malaysia,"Unemployment, total (% of total labor force) (national estimate)",3.4%,3.4%,3.3%
North America,"Unemployment, total (% of total labor force) (national estimate)",5.1%,4.6%,4.1%
Namibia,"Unemployment, total (% of total labor force) (national estimate)",23.4%,,19.9%
Netherlands,"Unemployment, total (% of total labor force) (national estimate)",6.0%,4.8%,3.8%
Norway,"Unemployment, total (% of total labor force) (national estimate)",4.7%,4.2%,3.8%
New Zealand,"Unemployment, total (% of total labor force) (national estimate)",5.1%,4.7%,4.3%
OECD members,"Unemployment, total (% of total labor force) (national estimate)",6.3%,5.7%,5.3%
Pakistan,"Unemployment, total (% of total labor force) (national estimate)",,,4.1%
Panama,"Unemployment, total (% of total labor force) (national estimate)",3.3%,3.9%,3.9%
Peru,"Unemployment, total (% of total labor force) (national estimate)",,,6.4%
Philippines,"Unemployment, total (% of total labor force) (national estimate)",2.7%,2.6%,2.3%
Poland,"Unemployment, total (% of total labor force) (national estimate)",6.2%,4.9%,3.8%
Puerto Rico,"Unemployment, total (% of total labor force) (national estimate)",11.8%,10.8%,9.2%
Portugal,"Unemployment, total (% of total labor force) (national estimate)",11.1%,8.9%,7.0%
Paraguay,"Unemployment, total (% of total labor force) (national estimate)",,,6.2%
West Bank and Gaza,"Unemployment, total (% of total labor force) (national estimate)",27.1%,28.4%,30.8%
Post-demographic dividend,"Unemployment, total (% of total labor force) (national estimate)",6.4%,5.9%,5.3%
Qatar,"Unemployment, total (% of total labor force) (national estimate)",0.2%,0.1%,0.1%
Romania,"Unemployment, total (% of total labor force) (national estimate)",5.9%,4.9%,4.2%
Russian Federation,"Unemployment, total (% of total labor force) (national estimate)",5.6%,5.2%,4.8%
South Asia,"Unemployment, total (% of total labor force) (national estimate)",,,5.2%
Saudi Arabia,"Unemployment, total (% of total labor force) (national estimate)",5.7%,5.9%,6.0%
El Salvador,"Unemployment, total (% of total labor force) (national estimate)",4.4%,4.4%,4.0%
